sk_cliente,id_cliente,nome_cliente,segmento_cliente,canal_aquisicao,uf_cliente,data_cadastro,faixa_etaria,ativo
1998,CLI01998,Noah Brito,PF - Varejo,Showroom,CE,2021-03-19,36-45,True
1999,CLI01999,Srta. Lunna Aparecida,PF - Premium,Digital,SC,2021-02-20,36-45,True
2000,CLI02000,Joana Vargas,PJ - Frota Pequena,Fidelização,RJ,2022-06-17,26-35,True
2001,CLI02001,Oliver Lopes,PF - Varejo,Fidelização,SP,2021-10-21,36-45,True
2002,CLI02002,Ana Beatriz Pimenta,PJ - Frota Pequena,Digital,RS,2022-05-28,26-35,True
2003,CLI02003,Anthony Peixoto,PF - Varejo,Showroom,SP,2021-07-11,26-35,True
2004,CLI02004,Maysa Fernandes,PJ - Frota Pequena,Digital,ES,2022-06-14,56+,True
2005,CLI02005,Srta. Brenda da Rocha,PF - Varejo,Indicação,BA,2021-04-10,36-45,True
2006,CLI02006,Luiz Gustavo Novaes,PF - Varejo,Showroom,SP,2023-05-26,46-55,True
2007,CLI02007,Lunna Vasconcelos,PF - Varejo,Indicação,SP,2022-08-10,56+,True
2008,CLI02008,Maria Sophia Vieira,PF - Premium,Fidelização,RJ,2022-10-26,26-35,True
2009,CLI02009,Srta. Lívia Montenegro,PF - Varejo,Digital,PR,2023-03-02,36-45,True
2010,CLI02010,Danilo Vieira,PF - Varejo,CRM Ativo,SP,2021-12-05,56+,True
2011,CLI02011,Evelyn Caldeira,PF - Varejo,Digital,RJ,2021-12-01,36-45,True
2012,CLI02012,Dra. Cecília Ramos,PF - Premium,Digital,RJ,2023-06-18,46-55,True
2013,CLI02013,Melissa Borges,PF - Premium,Fidelização,SP,2021-12-02,36-45,True
2014,CLI02014,Dr. Gabriel Vargas,PF - Premium,Digital,MG,2022-09-07,26-35,True
2015,CLI02015,Stella Lopes,PF - Varejo,Indicação,SP,2022-09-20,46-55,True
2016,CLI02016,Maria Alice Abreu,PF - Premium,CRM Ativo,BA,2021-08-06,18-25,True
2017,CLI02017,Dra. Pietra Leão,PJ - Frota Pequena,Fidelização,MG,2023-02-13,36-45,True
2018,CLI02018,Laís Melo,PJ - Frota Grande,Digital,SC,2021-05-19,18-25,True
2019,CLI02019,Helena Garcia,PF - Varejo,Digital,PR,2021-02-01,46-55,True
2020,CLI02020,Heloisa Moraes,PJ - Frota Grande,Digital,SP,2022-06-08,46-55,True
2021,CLI02021,Ana Clara Câmara,PF - Premium,Indicação,MG,2022-07-08,46-55,True
2022,CLI02022,Enzo Gabriel Melo,PJ - Frota Pequena,Digital,RJ,2021-11-17,56+,True
2023,CLI02023,Luiz Otávio da Conceição,PF - Premium,Digital,RJ,2022-05-09,46-55,True
2024,CLI02024,Samuel Jesus,PF - Varejo,Indicação,MG,2022-01-17,26-35,True
2025,CLI02025,Augusto Monteiro,PF - Premium,Indicação,RS,2021-04-28,26-35,True
2026,CLI02026,Apollo Macedo,PF - Varejo,Indicação,PE,2023-05-02,46-55,True
2027,CLI02027,Mateus Monteiro,PF - Varejo,Showroom,PR,2021-07-23,56+,True
2028,CLI02028,Srta. Sabrina Mendonça,PF - Varejo,Showroom,SP,2022-04-24,36-45,True
2029,CLI02029,Mariane Castro,PJ - Frota Grande,Digital,RJ,2022-01-31,26-35,True
2030,CLI02030,Srta. Isabella Vieira,PJ - Frota Pequena,Recall,RJ,2021-07-01,56+,True
2031,CLI02031,Miguel Nogueira,PF - Varejo,Digital,PE,2022-03-31,26-35,True
2032,CLI02032,Camila Moreira,PF - Varejo,Digital,GO,2021-05-07,26-35,True
2033,CLI02033,Alana Moreira,PJ - Frota Grande,Showroom,SP,2022-11-07,46-55,True
2034,CLI02034,Josué Pacheco,PF - Varejo,Digital,CE,2021-03-05,56+,True
2035,CLI02035,João Guilherme Farias,PF - Varejo,Digital,MG,2021-11-11,26-35,True
2036,CLI02036,Sra. Mirella Dias,PF - Varejo,Indicação,RS,2022-11-27,36-45,True
2037,CLI02037,José Vasconcelos,PF - Varejo,Fidelização,GO,2021-10-31,36-45,True
2038,CLI02038,Anthony Freitas,PF - Varejo,Recall,RJ,2023-05-22,26-35,True
2039,CLI02039,Gustavo Henrique Rezende,PJ - Frota Pequena,Indicação,SP,2021-03-06,18-25,True
2040,CLI02040,Luiz Felipe Cirino,PF - Varejo,Indicação,ES,2022-05-30,26-35,True
2041,CLI02041,Alana Cunha,PF - Varejo,Indicação,PE,2023-06-13,36-45,True
2042,CLI02042,Enzo Gabriel da Cunha,PF - Varejo,Fidelização,RJ,2021-12-12,26-35,True
2043,CLI02043,Dra. Stella Rezende,PF - Varejo,Digital,RJ,2021-01-23,36-45,True
2044,CLI02044,Nina Vargas,PF - Varejo,Recall,SP,2023-02-12,26-35,True
2045,CLI02045,Sr. Carlos Eduardo Siqueira,PF - Varejo,CRM Ativo,RJ,2021-07-21,36-45,True
2046,CLI02046,Beatriz da Cruz,PF - Varejo,Indicação,SP,2023-03-02,26-35,True
2047,CLI02047,Bárbara Freitas,PF - Varejo,Indicação,CE,2022-02-21,18-25,True
2048,CLI02048,Isis Cassiano,PF - Premium,Digital,MG,2021-04-23,36-45,True
2049,CLI02049,Brenda Peixoto,PF - Varejo,Digital,BA,2021-08-03,46-55,True
2050,CLI02050,Maria Luísa Ferreira,PF - Varejo,Indicação,SC,2021-07-09,26-35,True
2051,CLI02051,Esther Correia,PF - Premium,Digital,SP,2021-04-02,36-45,True
2052,CLI02052,Sr. Danilo Sousa,PF - Premium,Indicação,MG,2022-11-19,46-55,True
2053,CLI02053,Sra. Melina Lopes,PF - Premium,Indicação,PR,2023-02-12,46-55,True
2054,CLI02054,Davi Miguel da Paz,PJ - Frota Pequena,Recall,SP,2021-05-16,46-55,True
2055,CLI02055,Dr. Mathias Pacheco,PF - Premium,Indicação,RJ,2021-09-12,26-35,True
2056,CLI02056,Ana Cecília Aparecida,PF - Premium,Indicação,PR,2022-05-19,56+,True
2057,CLI02057,Erick Camargo,PJ - Frota Pequena,CRM Ativo,ES,2021-06-07,18-25,True
2058,CLI02058,Fernanda Abreu,PF - Premium,Digital,DF,2022-01-07,26-35,True
2059,CLI02059,Enzo Gabriel Carvalho,PJ - Frota Grande,Recall,CE,2021-09-09,18-25,True
2060,CLI02060,Eduardo Nogueira,PF - Varejo,Showroom,SP,2023-06-19,46-55,True
2061,CLI02061,Ana Cecília Moura,PF - Varejo,Showroom,RJ,2022-11-16,36-45,True
2062,CLI02062,Lucca Camargo,PF - Premium,Digital,SP,2021-01-09,18-25,True
2063,CLI02063,Benício Moreira,PF - Premium,Digital,BA,2021-05-08,36-45,True
2064,CLI02064,Luiz Miguel Pimenta,PF - Varejo,Digital,SP,2021-05-02,26-35,True
2065,CLI02065,Dra. Aylla Sampaio,PJ - Frota Grande,Fidelização,RJ,2022-04-19,36-45,True
2066,CLI02066,Emanuella Lima,PJ - Frota Pequena,Digital,SP,2021-08-03,18-25,True
2067,CLI02067,Dr. Valentim Freitas,PF - Premium,CRM Ativo,BA,2021-11-28,18-25,True
2068,CLI02068,Arthur Miguel Andrade,PF - Varejo,Showroom,DF,2021-12-31,36-45,True
2069,CLI02069,Kaique Fernandes,PF - Premium,Indicação,GO,2023-04-27,46-55,True
2070,CLI02070,João Gabriel Sales,PF - Varejo,Showroom,SP,2022-10-19,18-25,True
2071,CLI02071,Enzo Andrade,PF - Varejo,Indicação,RJ,2022-04-01,36-45,True
2072,CLI02072,João Pedro Gonçalves,PF - Premium,Digital,SP,2021-03-31,18-25,True
2073,CLI02073,Vitória Nascimento,PF - Premium,Digital,RJ,2022-12-08,46-55,True
2074,CLI02074,Maria Eduarda Fernandes,PJ - Frota Pequena,Fidelização,MG,2023-03-01,26-35,True
2075,CLI02075,Laís Pinto,PF - Premium,Indicação,MG,2021-10-28,18-25,True
2076,CLI02076,Apollo Silveira,PJ - Frota Pequena,Indicação,SC,2022-07-17,46-55,True
2077,CLI02077,Eloah Novaes,PF - Varejo,Showroom,PR,2022-06-17,46-55,True
2078,CLI02078,Bárbara da Rocha,PF - Varejo,Showroom,MG,2021-02-07,56+,True
2079,CLI02079,José Teixeira,PF - Varejo,Digital,CE,2021-07-09,46-55,True
2080,CLI02080,Liz da Conceição,PF - Premium,Indicação,MG,2021-10-23,56+,True
2081,CLI02081,Helena Sousa,PJ - Frota Pequena,Fidelização,SP,2023-04-26,36-45,True
2082,CLI02082,Sra. Lunna Camargo,PF - Premium,Fidelização,SP,2023-03-03,46-55,True
2083,CLI02083,Juliana Farias,PF - Premium,Indicação,RJ,2022-02-23,26-35,True
2084,CLI02084,Isaque Fonseca,PF - Premium,Indicação,SP,2022-08-09,46-55,True
2085,CLI02085,Srta. Hellena Duarte,PF - Varejo,Indicação,MG,2022-02-24,36-45,True
2086,CLI02086,Carlos Eduardo Albuquerque,PJ - Frota Pequena,Digital,CE,2023-01-21,36-45,True
2087,CLI02087,Lavínia Rezende,PF - Varejo,Indicação,MG,2021-07-03,36-45,True
2088,CLI02088,Arthur Rodrigues,PJ - Frota Pequena,Recall,RJ,2023-01-27,26-35,True
2089,CLI02089,Stella Porto,PF - Varejo,Recall,MG,2023-01-18,36-45,True
2090,CLI02090,Dr. Noah Teixeira,PF - Varejo,Showroom,DF,2022-01-18,26-35,True
2091,CLI02091,Dra. Letícia Lopes,PF - Varejo,CRM Ativo,RJ,2023-02-22,36-45,True
2092,CLI02092,Davi Luiz Sampaio,PF - Varejo,Recall,SP,2023-04-01,56+,True
2093,CLI02093,Luigi Correia,PJ - Frota Pequena,Showroom,BA,2023-05-21,36-45,True
2094,CLI02094,Brenda Machado,PF - Varejo,Fidelização,PE,2022-05-23,36-45,True
2095,CLI02095,Catarina Ramos,PJ - Frota Grande,Recall,MG,2021-03-27,36-45,True
2096,CLI02096,Lara da Paz,PF - Varejo,Indicação,SP,2022-06-03,36-45,True
2097,CLI02097,Sr. Nathan Marques,PF - Varejo,Digital,ES,2023-03-16,26-35,True
2098,CLI02098,Camila Nogueira,PF - Varejo,Indicação,SP,2022-11-28,46-55,True
2099,CLI02099,Marina Barbosa,PF - Premium,Showroom,SP,2021-03-11,36-45,True
2100,CLI02100,Mariane Nunes,PF - Varejo,Indicação,SP,2023-02-15,26-35,True
2101,CLI02101,Apollo Camargo,PF - Varejo,Indicação,ES,2021-07-30,26-35,True
2102,CLI02102,Luiz Otávio Ramos,PF - Varejo,Indicação,PR,2023-01-12,18-25,True
2103,CLI02103,Yago Casa Grande,PJ - Frota Pequena,CRM Ativo,SP,2021-12-20,36-45,True
2104,CLI02104,Carolina Cavalcanti,PF - Varejo,Recall,RJ,2023-03-26,26-35,True
2105,CLI02105,Clara Rodrigues,PF - Varejo,Showroom,RJ,2023-01-07,26-35,True
2106,CLI02106,Heloisa Moreira,PF - Premium,Recall,DF,2021-11-06,26-35,True
2107,CLI02107,Dr. Luiz Henrique Albuquerque,PJ - Frota Pequena,Showroom,SP,2022-03-18,46-55,True
2108,CLI02108,Pedro Lucas da Luz,PF - Varejo,CRM Ativo,SP,2023-03-19,36-45,True
2109,CLI02109,Ana Caldeira,PF - Varejo,CRM Ativo,RJ,2022-10-24,56+,True
2110,CLI02110,Antonella Marques,PJ - Frota Grande,Digital,GO,2021-02-07,56+,True
2111,CLI02111,Otto Duarte,PF - Varejo,Digital,MG,2021-04-03,26-35,True
2112,CLI02112,Dra. Melissa Mendonça,PF - Varejo,Indicação,RJ,2022-07-15,36-45,True
2113,CLI02113,Anthony Gabriel Macedo,PF - Varejo,Fidelização,BA,2022-06-09,18-25,True
2114,CLI02114,Bryan da Conceição,PF - Premium,Showroom,PE,2021-06-23,18-25,True
2115,CLI02115,Amanda Santos,PF - Varejo,CRM Ativo,PE,2023-01-11,46-55,True
2116,CLI02116,Maria Liz Mendonça,PJ - Frota Pequena,Indicação,MG,2022-01-30,26-35,True
2117,CLI02117,Ana Liz Farias,PF - Varejo,Fidelização,SP,2023-05-19,36-45,True
2118,CLI02118,Pedro Miguel Oliveira,PJ - Frota Grande,Indicação,ES,2023-01-23,56+,True
2119,CLI02119,Emanuel Mendonça,PF - Premium,Indicação,RJ,2022-08-06,36-45,True
2120,CLI02120,Dra. Agatha Cassiano,PF - Varejo,Digital,ES,2023-05-17,26-35,True
2121,CLI02121,Cecilia Pereira,PJ - Frota Pequena,Indicação,PR,2021-04-21,56+,True
2122,CLI02122,João Vitor Fonseca,PF - Varejo,Indicação,RS,2022-02-11,46-55,True
2123,CLI02123,Maria Vitória Macedo,PF - Premium,Digital,SP,2023-01-05,56+,True
2124,CLI02124,Giovanna Pacheco,PJ - Frota Grande,Digital,DF,2022-06-08,36-45,True
2125,CLI02125,Aylla Teixeira,PF - Varejo,Indicação,MG,2023-06-23,36-45,True
2126,CLI02126,Emanuella Costa,PF - Varejo,Digital,CE,2021-06-08,46-55,True
2127,CLI02127,Maria Cecília Martins,PF - Premium,Fidelização,SP,2021-04-25,36-45,True
2128,CLI02128,Manuella Rocha,PJ - Frota Pequena,Digital,RJ,2023-05-09,26-35,True
2129,CLI02129,Rodrigo Vasconcelos,PJ - Frota Pequena,Digital,DF,2022-09-28,36-45,True
2130,CLI02130,Gabriel Azevedo,PF - Premium,Fidelização,RS,2022-01-21,36-45,True
2131,CLI02131,Isaque Câmara,PF - Premium,Fidelização,RJ,2022-10-27,36-45,True
2132,CLI02132,Ana Sophia Viana,PF - Varejo,Fidelização,SP,2021-05-06,36-45,True
2133,CLI02133,Maria Vitória Aparecida,PF - Varejo,Digital,RS,2021-09-27,18-25,True
2134,CLI02134,Luiz Miguel Souza,PF - Premium,Showroom,GO,2021-07-16,26-35,True
2135,CLI02135,Breno Rios,PJ - Frota Pequena,Showroom,SC,2023-04-30,36-45,True
2136,CLI02136,Sr. Pedro Miguel Novaes,PF - Premium,Fidelização,SC,2023-03-14,36-45,True
2137,CLI02137,Manuella Câmara,PF - Varejo,Digital,RJ,2023-01-13,26-35,True
2138,CLI02138,Maria Laura Leão,PF - Varejo,Fidelização,SP,2021-08-20,36-45,True
2139,CLI02139,Ana Laura Fernandes,PF - Varejo,Digital,SP,2021-12-08,26-35,True
2140,CLI02140,Gabrielly Fernandes,PJ - Frota Pequena,Fidelização,SP,2021-06-16,36-45,True
2141,CLI02141,José Araújo,PF - Varejo,Fidelização,CE,2022-01-01,36-45,True
2142,CLI02142,João Lucas Cassiano,PF - Premium,Fidelização,SP,2022-08-26,36-45,True
2143,CLI02143,Dra. Milena Farias,PJ - Frota Grande,Showroom,PR,2022-10-01,36-45,True
2144,CLI02144,Asafe Ribeiro,PF - Varejo,Digital,RS,2022-02-27,36-45,True
2145,CLI02145,Ana Carolina Albuquerque,PJ - Frota Pequena,Fidelização,SP,2021-03-24,36-45,True
2146,CLI02146,Dr. João Vitor da Cunha,PF - Varejo,Showroom,SP,2023-01-13,36-45,True
2147,CLI02147,Allana Abreu,PJ - Frota Pequena,Digital,SC,2022-08-07,56+,True
2148,CLI02148,Arthur Miguel Vasconcelos,PF - Varejo,Indicação,PE,2021-04-08,56+,True
2149,CLI02149,Eloah Araújo,PF - Varejo,Indicação,SP,2022-11-20,56+,True
2150,CLI02150,Dr. José Aragão,PF - Varejo,Digital,DF,2023-01-27,18-25,True
2151,CLI02151,Mathias Freitas,PF - Premium,Digital,DF,2021-05-11,26-35,True
2152,CLI02152,Diego Costela,PF - Premium,Showroom,SP,2023-06-29,18-25,True
2153,CLI02153,Guilherme Gomes,PF - Varejo,Digital,GO,2023-05-16,46-55,True
2154,CLI02154,Yuri Cardoso,PF - Varejo,Recall,PR,2022-01-17,46-55,True
2155,CLI02155,Isadora da Rocha,PF - Varejo,Digital,SP,2021-08-27,36-45,True
2156,CLI02156,Dra. Júlia da Cruz,PF - Varejo,Digital,SP,2021-04-02,46-55,True
2157,CLI02157,Gael Martins,PF - Varejo,Indicação,RJ,2021-06-22,26-35,True
2158,CLI02158,Clarice Garcia,PF - Premium,Digital,MG,2021-07-20,36-45,True
2159,CLI02159,Aurora das Neves,PF - Varejo,Indicação,SC,2021-04-02,36-45,True
2160,CLI02160,Gabrielly da Paz,PF - Varejo,Indicação,MG,2022-12-22,36-45,True
2161,CLI02161,Luiz Miguel Silveira,PF - Premium,Showroom,SP,2022-12-06,26-35,True
2162,CLI02162,Cecilia Pacheco,PJ - Frota Pequena,CRM Ativo,SP,2022-08-30,36-45,True
2163,CLI02163,Antônio da Paz,PF - Varejo,Indicação,RJ,2021-09-15,26-35,True
2164,CLI02164,Clarice Fonseca,PJ - Frota Pequena,Digital,SP,2023-01-25,18-25,True
2165,CLI02165,Sr. João Melo,PJ - Frota Pequena,Indicação,PR,2022-05-23,26-35,True
2166,CLI02166,Sr. Luiz Otávio Vasconcelos,PF - Premium,Digital,SP,2021-01-26,26-35,True
2167,CLI02167,Caroline Castro,PF - Varejo,Digital,RS,2022-08-19,26-35,True
2168,CLI02168,Eduardo Pereira,PF - Varejo,Digital,PR,2022-09-14,56+,True
2169,CLI02169,Dra. Esther Sousa,PF - Premium,Digital,PR,2021-07-31,56+,True
2170,CLI02170,Sr. Ian Machado,PJ - Frota Pequena,Digital,SP,2022-08-04,26-35,True
2171,CLI02171,Dante Rocha,PF - Premium,Showroom,MG,2021-12-22,18-25,True
2172,CLI02172,Lunna Cirino,PJ - Frota Pequena,Fidelização,RJ,2021-10-26,36-45,True
2173,CLI02173,Liam Gomes,PF - Varejo,Fidelização,DF,2023-04-17,36-45,True
2174,CLI02174,Milena Porto,PF - Premium,Fidelização,MG,2023-02-10,26-35,True
2175,CLI02175,Francisco Pires,PJ - Frota Pequena,Indicação,RJ,2023-01-31,46-55,True
2176,CLI02176,Isaque da Luz,PJ - Frota Pequena,Digital,SP,2022-02-09,26-35,True
2177,CLI02177,Lucas da Paz,PF - Varejo,Indicação,BA,2022-08-28,26-35,True
2178,CLI02178,Maria Luísa da Costa,PF - Varejo,Digital,ES,2022-05-23,36-45,True
2179,CLI02179,Sra. Maria Júlia Pimenta,PF - Varejo,Indicação,PR,2021-09-28,36-45,True
2180,CLI02180,Brayan Albuquerque,PF - Varejo,Digital,SP,2021-03-06,36-45,True
2181,CLI02181,Isabella Barros,PF - Premium,Indicação,SP,2022-04-13,26-35,True
2182,CLI02182,Srta. Laís Nunes,PF - Varejo,Recall,SP,2021-02-19,26-35,True
2183,CLI02183,Luísa Jesus,PF - Varejo,CRM Ativo,DF,2021-10-11,26-35,True
2184,CLI02184,Bernardo Albuquerque,PF - Varejo,Indicação,MG,2023-01-17,18-25,True
2185,CLI02185,Dra. Sara Aparecida,PF - Premium,Digital,SC,2023-06-23,26-35,True
2186,CLI02186,Dr. Rael Farias,PJ - Frota Pequena,Showroom,SP,2023-04-28,36-45,True
2187,CLI02187,Marcela Nunes,PF - Varejo,Digital,SP,2021-01-09,36-45,True
2188,CLI02188,Dom Freitas,PF - Varejo,CRM Ativo,SP,2023-04-22,56+,True
2189,CLI02189,Maria Clara Porto,PF - Varejo,Showroom,RJ,2022-01-21,26-35,True
2190,CLI02190,Lucas Gomes,PJ - Frota Pequena,Digital,RS,2021-02-23,36-45,True
2191,CLI02191,Marcela Fonseca,PF - Varejo,Digital,BA,2023-03-26,18-25,True
2192,CLI02192,Otto da Mata,PF - Premium,Fidelização,SP,2023-03-03,26-35,True
2193,CLI02193,Manuela da Mota,PJ - Frota Pequena,Digital,RJ,2022-01-13,26-35,True
2194,CLI02194,Ravi Garcia,PF - Premium,Indicação,MG,2022-05-28,46-55,True
2195,CLI02195,Maria Alice Gonçalves,PF - Varejo,Digital,ES,2022-07-28,46-55,True
2196,CLI02196,Sabrina Santos,PJ - Frota Pequena,Digital,CE,2021-12-17,18-25,True
2197,CLI02197,Gustavo Cavalcanti,PF - Varejo,Indicação,RJ,2021-03-22,46-55,True
2198,CLI02198,Sra. Liz da Luz,PF - Varejo,Showroom,BA,2023-05-13,36-45,True
2199,CLI02199,Natália Peixoto,PF - Varejo,Recall,RJ,2023-04-22,18-25,True
2200,CLI02200,Jade Rezende,PJ - Frota Grande,Indicação,SP,2022-11-22,46-55,True
2201,CLI02201,Sabrina Pastor,PF - Varejo,Showroom,RJ,2023-02-10,36-45,True
2202,CLI02202,Diego Montenegro,PF - Varejo,Digital,RJ,2021-10-13,46-55,True
2203,CLI02203,Hellena Pereira,PF - Premium,CRM Ativo,SP,2022-07-30,36-45,True
2204,CLI02204,Ryan Ferreira,PF - Premium,CRM Ativo,SP,2021-05-24,36-45,True
2205,CLI02205,João Lucas Alves,PJ - Frota Pequena,Indicação,DF,2021-12-10,18-25,True
2206,CLI02206,Maria Flor da Cruz,PJ - Frota Pequena,CRM Ativo,RS,2022-12-11,36-45,True
2207,CLI02207,Sr. Enrico Silva,PF - Varejo,CRM Ativo,MG,2022-10-07,18-25,True
2208,CLI02208,João Lucas Macedo,PF - Premium,Digital,SP,2021-01-12,26-35,True
2209,CLI02209,Ana Beatriz da Conceição,PF - Varejo,Recall,RS,2023-06-19,36-45,True
2210,CLI02210,Emanuel da Rosa,PJ - Frota Pequena,Fidelização,PR,2022-11-09,18-25,True
2211,CLI02211,Dra. Mirella Siqueira,PF - Premium,Digital,PR,2022-04-17,36-45,True
2212,CLI02212,Sr. Luiz Felipe Andrade,PF - Varejo,Fidelização,SP,2021-01-14,36-45,True
2213,CLI02213,Manuela Duarte,PF - Varejo,CRM Ativo,SP,2023-02-28,18-25,True
2214,CLI02214,Giovanna Lima,PF - Varejo,Digital,SP,2022-04-18,36-45,True
2215,CLI02215,Ana Cecília Nunes,PF - Varejo,Indicação,RJ,2022-10-07,46-55,True
2216,CLI02216,Antonella Melo,PF - Premium,Showroom,BA,2022-02-13,26-35,True
2217,CLI02217,Srta. Lara Ramos,PF - Varejo,Digital,GO,2023-04-20,56+,True
2218,CLI02218,Alexia Cirino,PF - Varejo,Indicação,SP,2023-01-26,26-35,True
2219,CLI02219,Eloah Araújo,PF - Premium,Indicação,PE,2021-06-06,26-35,True
2220,CLI02220,Vinicius Siqueira,PJ - Frota Grande,Showroom,CE,2022-08-04,36-45,True
2221,CLI02221,Srta. Mariah Vasconcelos,PF - Premium,Recall,RS,2023-03-26,36-45,True
2222,CLI02222,Sr. Henrique das Neves,PJ - Frota Grande,Showroom,CE,2021-03-02,46-55,True
2223,CLI02223,Ravy Aparecida,PF - Varejo,Indicação,MG,2022-07-09,36-45,True
2224,CLI02224,Felipe da Mota,PJ - Frota Pequena,Digital,PR,2021-11-30,36-45,True
2225,CLI02225,Apollo Garcia,PF - Varejo,Recall,GO,2023-04-08,26-35,True
2226,CLI02226,Mirella Nogueira,PF - Premium,Recall,SP,2021-10-21,26-35,True
2227,CLI02227,Luiz Fernando Campos,PJ - Frota Grande,Digital,SP,2021-12-19,26-35,True
2228,CLI02228,Antony Silveira,PF - Premium,Recall,RS,2021-05-01,18-25,True
2229,CLI02229,Clara Campos,PJ - Frota Pequena,Digital,RJ,2023-05-10,36-45,True
2230,CLI02230,Lucas Vasconcelos,PF - Varejo,Fidelização,PE,2022-07-26,26-35,True
2231,CLI02231,Luiz Otávio Vasconcelos,PJ - Frota Pequena,Showroom,PE,2022-03-08,26-35,True
2232,CLI02232,Theo Albuquerque,PF - Premium,Digital,GO,2022-04-15,18-25,True
2233,CLI02233,Isadora Moreira,PF - Premium,Digital,RJ,2022-03-07,36-45,True
2234,CLI02234,Cecília Ribeiro,PJ - Frota Pequena,Recall,DF,2022-07-24,26-35,True
2235,CLI02235,Isaac Teixeira,PF - Premium,Digital,SP,2022-09-27,36-45,True
2236,CLI02236,Gustavo da Rosa,PF - Premium,Recall,BA,2023-05-08,36-45,True
2237,CLI02237,Luiz Felipe Santos,PF - Varejo,Indicação,PR,2023-03-14,26-35,True
2238,CLI02238,Maria Eduarda Câmara,PF - Varejo,Digital,PR,2023-04-16,26-35,True
2239,CLI02239,Srta. Maria Julia Monteiro,PJ - Frota Pequena,Recall,RJ,2021-07-09,46-55,True
2240,CLI02240,Bruno Machado,PF - Premium,Recall,PR,2022-12-26,18-25,True
2241,CLI02241,Juliana Costela,PF - Premium,Digital,PE,2022-01-26,46-55,True
2242,CLI02242,Alice Cunha,PF - Premium,Digital,SP,2021-04-13,26-35,True
2243,CLI02243,Caroline Cunha,PF - Varejo,Digital,MG,2022-09-14,26-35,True
2244,CLI02244,Maria Liz Borges,PJ - Frota Grande,Indicação,PE,2021-11-15,56+,True
2245,CLI02245,Lara Câmara,PF - Premium,Showroom,MG,2021-09-27,36-45,True
2246,CLI02246,Aurora Castro,PF - Varejo,Digital,PR,2021-10-02,36-45,True
2247,CLI02247,Yasmin Pinto,PF - Premium,Digital,RJ,2021-09-19,18-25,True
2248,CLI02248,Maria Liz Vargas,PF - Varejo,Digital,SP,2022-02-18,26-35,True
2249,CLI02249,Olivia Sousa,PJ - Frota Pequena,Indicação,RS,2021-01-15,26-35,True
2250,CLI02250,Breno Alves,PJ - Frota Pequena,Digital,RJ,2021-06-14,36-45,True
2251,CLI02251,Thales Cavalcanti,PF - Varejo,Recall,SP,2021-01-09,56+,True
2252,CLI02252,Olívia Ribeiro,PF - Varejo,Digital,BA,2022-08-15,26-35,True
2253,CLI02253,Arthur Miguel Gomes,PJ - Frota Pequena,Digital,BA,2021-01-09,26-35,True
2254,CLI02254,Sra. Isabela Farias,PJ - Frota Pequena,Showroom,SP,2022-12-19,26-35,True
2255,CLI02255,Joaquim Vasconcelos,PF - Varejo,CRM Ativo,SP,2021-10-22,36-45,True
2256,CLI02256,Rafaela Ramos,PF - Varejo,Digital,PR,2022-10-20,56+,True
2257,CLI02257,Nina Costa,PF - Premium,Fidelização,PR,2022-12-27,18-25,True
2258,CLI02258,Lucas Monteiro,PF - Varejo,Recall,PE,2023-04-11,46-55,True
2259,CLI02259,Matheus da Rosa,PF - Varejo,Indicação,SP,2021-02-11,56+,True
2260,CLI02260,Sra. Vitória Andrade,PJ - Frota Pequena,Showroom,RJ,2021-06-18,36-45,True
2261,CLI02261,Bella da Rocha,PF - Varejo,Digital,MG,2022-01-06,18-25,True
2262,CLI02262,Henry Gabriel Santos,PF - Varejo,Fidelização,CE,2023-06-06,36-45,True
2263,CLI02263,Danilo da Mota,PF - Premium,Digital,BA,2022-04-17,46-55,True
2264,CLI02264,Isabel Moura,PJ - Frota Pequena,Showroom,SP,2021-01-31,26-35,True
2265,CLI02265,Clarice Leão,PF - Varejo,Digital,CE,2021-05-17,26-35,True
2266,CLI02266,Heloísa Azevedo,PF - Varejo,Digital,ES,2021-03-08,26-35,True
2267,CLI02267,Sarah Câmara,PF - Premium,Digital,SP,2021-12-08,36-45,True
2268,CLI02268,Henry Câmara,PJ - Frota Pequena,Digital,DF,2021-10-09,26-35,True
2269,CLI02269,Luiz Otávio Nascimento,PF - Varejo,CRM Ativo,RJ,2022-12-31,36-45,True
2270,CLI02270,Srta. Ana Novais,PJ - Frota Pequena,Digital,BA,2023-02-24,26-35,True
2271,CLI02271,Diogo Abreu,PF - Varejo,Indicação,GO,2022-03-08,26-35,True
2272,CLI02272,Mariane da Paz,PJ - Frota Pequena,CRM Ativo,MG,2023-04-07,36-45,True
2273,CLI02273,Luiz Miguel Marques,PF - Varejo,Digital,MG,2021-11-20,36-45,True
2274,CLI02274,Pedro Henrique Fernandes,PJ - Frota Grande,CRM Ativo,DF,2021-06-26,56+,True
2275,CLI02275,Isis Teixeira,PF - Varejo,Showroom,SC,2022-11-21,36-45,True
2276,CLI02276,Dra. Isis Novaes,PJ - Frota Grande,Digital,PR,2022-08-11,46-55,True
2277,CLI02277,Srta. Daniela Teixeira,PJ - Frota Grande,Indicação,BA,2021-11-03,36-45,True
2278,CLI02278,João Miguel Carvalho,PF - Varejo,Showroom,PR,2022-12-07,36-45,True
2279,CLI02279,Daniela Nogueira,PF - Varejo,Digital,PR,2021-09-13,36-45,True
